YMD_ID,HH_ID,GETOFF_CNT
20220105,8,1038
20220105,9,573
20220105,10,400
20220105,11,336
20220105,12,406
20220105,13,388
20220105,14,407
20220105,15,504
20220105,16,672
20220105,17,711
20220105,18,1016
20220105,19,739
20220105,20,455
20220105,21,648
20220105,22,468
20220105,23,268
20220106,0,78
20220106,1,9
20220106,5,3
20220106,6,220
20220106,7,611
20220106,8,1124
20220106,9,565
20220106,10,423
20220106,11,383
20220106,12,364
20220106,13,431
20220106,14,516
20220106,15,513
20220106,16,696
20220106,17,693
20220106,18,1159
20220106,19,781
20220106,20,479
20220106,21,605
20220106,22,525
20220106,23,249
20220107,0,72
20220107,5,6
20220107,6,210
20220107,7,615
20220107,8,1128
20220107,9,534
20220107,10,393
20220107,11,457
20220107,12,427
20220107,13,472
20220107,14,476
20220107,15,700
20220107,16,799
20220107,17,958
20220107,18,1305
20220107,19,1009
20220107,20,672
20220107,21,580
20220107,22,443
20220107,23,261
20220108,0,104
20220108,5,7
20220108,6,102
20220108,7,184
20220108,8,312
20220108,9,375
20220108,10,381
20220108,11,448
20220108,12,454
20220108,13,447
20220108,14,448
20220108,15,467
20220108,16,451
20220108,17,478
20220108,18,371
20220108,19,303
20220108,20,232
20220108,21,409
20220108,22,379
20220108,23,220
20220109,0,74
20220109,5,2
20220109,6,35
20220109,7,81
20220109,8,160
20220109,9,186
20220109,10,286
20220109,11,274
20220109,12,321
20220109,13,335
20220109,14,368
20220109,15,453
20220109,16,437
20220109,17,462
20220109,18,439
20220109,19,342
20220109,20,364
20220109,21,465
20220109,22,330
20220109,23,195
20220110,0,67
20220110,5,2
20220110,6,253
20220110,7,783
20220110,8,1299
20220110,9,642
20220110,10,382
20220110,11,365
20220110,12,407
20220110,13,397
20220110,14,456
20220110,15,526
20220110,16,670
20220110,17,687
20220110,18,979
20220110,19,792
20220110,20,463
20220110,21,604
20220110,22,489
20220110,23,234
20220111,0,72
20220111,5,2
20220111,6,194
20220111,7,700
20220111,8,1222
20220111,9,571
20220111,10,428
20220111,11,391
20220111,12,372
20220111,13,461
20220111,14,468
20220111,15,576
20220111,16,671
20220111,17,767
20220111,18,1150
20220111,19,804
20220111,20,522
20220111,21,653
20220111,22,514
20220111,23,227
20220112,0,73
20220112,5,3
20220112,6,229
20220112,7,673
20220112,8,1179
20220112,9,566
20220112,10,410
20220112,11,387
20220112,12,402
20220112,13,448
20220112,14,508
20220112,15,514
20220112,16,686
20220112,17,743
20220112,18,1064
20220112,19,761
20220112,20,468
20220112,21,637
20220112,22,464
20220112,23,214
20220113,0,91
20220113,5,4
20220113,6,181
20220113,7,668
20220113,8,1260
20220113,9,612
20220113,10,403
20220113,11,390
20220113,12,394
20220113,13,464
20220113,14,476
20220113,15,521
20220113,16,722
20220113,17,704
20220113,18,1077
20220113,19,792
20220113,20,481
20220113,21,664
20220113,22,478
20220113,23,254
20220114,0,79
20220114,5,5
20220114,6,202
20220114,7,610
20220114,8,1157
20220114,9,540
20220114,10,362
20220114,11,430
20220114,12,463
20220114,13,463
20220114,14,525
20220114,15,736
20220114,16,797
20220114,17,986
20220114,18,1308
20220114,19,1011
20220114,20,616
20220114,21,593
20220114,22,510
20220114,23,256
20220115,0,110
20220115,5,5
20220115,6,97
20220115,7,184
20220115,8,276
20220115,9,344
20220115,10,372
20220115,11,392
20220115,12,413
20220115,13,361
20220115,14,450
20220115,15,497
20220115,16,441
20220115,17,468
20220115,18,432
20220115,19,261
20220115,20,286
20220115,21,389
20220115,22,363
20220115,23,220
20220116,0,83
20220116,5,3
20220116,6,38
20220116,7,71
20220116,8,195
20220116,9,235
20220116,10,236
20220116,11,300
20220116,12,250
20220116,13,307
20220116,14,363
20220116,15,394
20220116,16,438
20220116,17,480
20220116,18,387
20220116,19,446
20220116,20,341
20220116,21,447
20220116,22,355
20220116,23,205
20220117,0,77
20220117,5,1
20220117,6,271
20220117,7,738
20220117,8,1287
20220117,9,556
20220117,10,404
20220117,11,382
20220117,12,393
20220117,13,392
20220117,14,498
20220117,15,445
20220117,16,618
20220117,17,658
20220117,18,1050
20220117,19,713
20220117,20,535
20220117,21,592
20220117,22,478
20220117,23,228
20220118,0,75
20220118,5,3
20220118,6,219
20220118,7,625
20220118,8,1221
20220118,9,601
20220118,10,386
20220118,11,394
20220118,12,447
20220118,13,405
20220118,14,499
20220118,15,563
20220118,16,657
20220118,17,849
20220118,18,1156
20220118,19,721
20220118,20,529
20220118,21,695
20220118,22,525
20220118,23,258
20220119,0,67
20220119,5,1
20220119,6,224
20220119,7,674
20220119,8,1222
20220119,9,641
20220119,10,429
20220119,11,412
20220119,12,454
20220119,13,439
20220119,14,506
20220119,15,582
20220119,16,714
20220119,17,782
20220119,18,1132
20220119,19,813
20220119,20,503
20220119,21,721
20220119,22,456
20220119,23,257
20220120,0,65
20220120,5,3
20220120,6,220
20220120,7,698
20220120,8,1237
20220120,9,623
20220120,10,430
20220120,11,380
20220120,12,448
20220120,13,402
20220120,14,484
20220120,15,572
20220120,16,688
20220120,17,744
20220120,18,1118
20220120,19,712
20220120,20,564
20220120,21,654
20220120,22,545
20220120,23,272
20220121,0,88
20220121,5,1
20220121,6,223
20220121,7,625
20220121,8,1158
20220121,9,565
20220121,10,421
20220121,11,445
20220121,12,470
20220121,13,476
20220121,14,617
20220121,15,621
20220121,16,879
20220121,17,981
20220121,18,1309
20220121,19,938
20220121,20,602
20220121,21,602
20220121,22,501
20220121,23,281
20220122,0,110
20220122,5,4
20220122,6,95
20220122,7,181
20220122,8,295
20220122,9,347
20220122,10,420
20220122,11,425
20220122,12,456
20220122,13,392
20220122,14,409
20220122,15,484
20220122,16,476
20220122,17,417
20220122,18,421
20220122,19,278
20220122,20,289
20220122,21,406
20220122,22,400
20220122,23,222
20220124,0,77
20220124,5,3
20220124,6,292
20220124,7,754
20220124,8,1228
20220124,9,546
20220124,10,436
20220124,11,384
20220124,12,441
20220124,13,477
20220124,14,494
20220124,15,540
20220124,16,683
20220124,17,700
20220124,18,1066
20220124,19,733
20220124,20,502
20220124,21,622
20220124,22,519
20220124,23,224
20220125,0,67
20220125,1,4
20220125,5,3
20220125,6,215
20220125,7,668
20220125,8,1144
20220125,9,630
20220125,10,411
20220125,11,379
20220125,12,479
20220125,13,424
20220125,14,501
20220125,15,556
20220125,16,672
20220125,17,775
20220125,18,1124
20220125,19,802
20220125,20,497
20220125,21,687
20220125,22,545
20220125,23,259
20220126,0,88
20220126,5,2
20220126,6,202
20220126,7,677
20220126,8,1172
20220126,9,585
20220126,10,409
20220126,11,363
20220126,12,451
20220126,13,467
20220126,14,484
20220126,15,565
20220126,16,720
20220126,17,784
20220126,18,1113
20220126,19,806
20220126,20,554
20220126,21,674
20220126,22,548
20220126,23,274
20220127,0,88
20220127,5,3
20220127,6,210
20220127,7,646
20220127,8,1191
20220127,9,592
20220127,10,469
20220127,11,434
20220127,12,453
20220127,13,413
20220127,14,481
20220127,15,652
20220127,16,723
20220127,17,786
20220127,18,1068
20220127,19,808
20220127,20,523
20220127,21,603
20220127,22,559
20220127,23,258
20220213,0,85
20220213,5,3
20220213,6,37
20220213,7,66
20220213,8,179
20220213,9,209
20220213,10,252
20220213,11,246
20220213,12,266
20220213,13,316
20220213,14,311
20220213,15,394
20220213,16,424
20220213,17,342
20220213,18,381
20220213,19,358
20220213,20,420
20220213,21,395
20220213,22,316
20220213,23,176
20220214,0,60
20220214,5,4
20220214,6,276
20220214,7,726
20220214,8,1155
20220214,9,592
20220214,10,399
20220214,11,397
20220214,12,423
20220214,13,404
20220214,14,432
20220214,15,498
20220214,16,636
20220214,17,698
20220214,18,1020
20220214,19,719
20220214,20,459
20220214,21,529
20220214,22,433
20220214,23,192
20220215,0,62
20220215,1,2
20220215,5,1
20220215,6,229
20220215,7,680
20220215,8,1117
20220215,9,591
20220215,10,389
20220215,11,350
20220215,12,428
20220215,13,403
20220215,14,448
20220215,15,499
20220215,16,624
20220215,17,685
20220215,18,1119
20220215,19,668
20220215,20,447
20220215,21,579
20220215,22,410
20220215,23,225
20220216,0,88
20220216,1,6
20220216,5,2
20220216,6,204
20220216,7,629
20220216,8,1174
20220216,9,583
20220216,10,366
20220216,11,368
20220216,12,413
20220216,13,431
20220216,14,474
20220216,15,554
20220216,16,652
20220216,17,635
20220216,18,1087
20220216,19,698
20220216,20,470
20220216,21,544
20220216,22,404
20220216,23,227
20220217,0,67
20220217,5,6
20220217,6,182
20220217,7,645
20220217,8,1101
20220217,9,561
20220217,10,370
20220217,11,332
20220217,12,424
20220217,13,392
20220217,14,405
20220217,15,542
20220217,16,644
20220217,17,702
20220217,18,1034
20220217,19,658
20220217,20,521
20220217,21,573
20220217,22,455
20220217,23,255
20220218,0,75
20220218,5,6
20220218,6,178
20220218,7,592
20220218,8,1105
20220218,9,598
20220218,10,356
20220218,11,433
20220218,12,474
20220218,13,439
20220218,14,532
20220218,15,662
20220218,16,811
20220218,17,889
20220218,18,1243
20220218,19,975
20220218,20,539
20220218,21,523
20220218,22,399
20220218,23,228
20220219,0,80
20220219,1,6
20220219,5,2
20220219,6,99
20220219,7,172
20220219,8,286
20220219,9,354
20220219,10,383
20220219,11,383
20220219,12,414
20220219,13,352
20220219,14,444
20220219,15,409
20220219,16,431
20220219,17,439
20220219,18,379
20220219,19,263
20220219,20,262
20220219,21,293
20220219,22,319
20220219,23,234
20220225,0,122
20220225,5,1
20220225,6,183
20220225,7,585
20220225,8,1033
20220225,9,605
20220225,10,373
20220225,11,454
20220225,12,447
20220225,13,425
20220225,14,577
20220225,15,636
20220225,16,868
20220225,17,896
20220225,18,1233
20220225,19,951
20220225,20,589
20220225,21,466
20220225,22,438
20220225,23,311
20220226,0,129
20220226,5,1
20220226,6,109
20220226,7,184
20220226,8,304
20220226,9,346
20220226,10,360
20220226,11,389
20220226,12,375
20220226,13,378
20220226,14,421
20220226,15,406
20220226,16,402
20220226,17,396
20220226,18,406
20220226,19,303
20220226,20,256
20220226,21,280
20220226,22,320
20220226,23,240
20220227,0,73
20220227,5,1
20220227,6,38
20220227,7,93
20220227,8,193
20220227,9,194
20220227,10,237
20220227,11,263
20220227,12,247
20220227,13,304
20220227,14,360
20220227,15,386
20220227,16,383
20220227,17,422
20220227,18,366
20220227,19,315
20220227,20,326
20220227,21,325
20220227,22,335
20220227,23,206
20220228,0,63
20220228,5,1
20220228,6,186
20220228,7,663
20220228,8,1004
20220228,9,487
20220228,10,357
20220228,11,384
20220228,12,391
20220228,13,383
20220228,14,444
20220228,15,472
20220228,16,668
20220228,17,692
20220228,18,1011
20220228,19,670
20220228,20,502
20220228,21,386
20220228,22,488
20220228,23,327
20220301,0,134
20220301,5,2
20220301,6,70
20220301,7,117
20220301,8,191
20220301,9,216
20220301,10,232
20220301,11,245
20220301,12,253
20220301,13,275
20220301,14,320
20220301,15,347
20220301,16,390
20220301,17,391
20220301,18,399
20220301,19,346
20220301,20,322
20220301,21,320
20220301,22,289
20220301,23,222
20220302,0,67
20220302,5,5
20220302,6,207
20220302,7,886
20220302,8,1202
20220302,9,623
20220302,10,368
20220302,11,345
20220302,12,412
20220302,13,421
20220302,14,459
20220302,15,483
20220302,16,627
20220302,17,753
20220302,18,1144
20220302,19,725
20220302,20,483
20220302,21,439
20220302,22,467
20220302,23,276
20220303,0,91
20220303,5,8
20220303,6,197
20220303,7,757
20220303,8,1216
20220303,9,645
20220303,10,400
20220303,11,405
20220303,12,443
20220303,13,381
20220303,14,411
20220303,15,490
20220303,16,722
20220303,17,801
20220303,18,1085
20220303,19,777
20220303,20,525
20220303,21,467
20220303,22,513
20220303,23,326
20220304,0,101
20220304,5,5
20220304,6,193
20220304,7,730
20220304,8,1137
20220304,9,587
20220304,10,386
20220304,11,373
20220304,12,397
20220304,13,455
20220304,14,577
20220304,15,622
20220304,16,801
20220304,17,1066
20220304,18,1233
20220304,19,958
20220304,20,632
20220304,21,416
20220304,22,429
20220304,23,330
20220305,0,110
20220305,1,12
20220305,5,2
20220305,6,110
20220305,7,155
20220305,8,284
20220305,9,342
20220305,10,340
20220305,11,357
20220305,12,364
20220305,13,325
20220305,14,403
20220305,15,323
20220305,16,397
20220305,17,405
20220305,18,378
20220305,19,300
20220305,20,246
20220305,21,247
20220305,22,296
20220305,23,235
20220306,0,119
20220306,1,6
20220306,5,1
20220306,6,52
20220306,7,72
20220306,8,159
20220306,9,184
20220306,10,225
20220306,11,234
20220306,12,192
20220306,13,239
20220306,14,275
20220306,15,356
20220306,16,404
20220306,17,371
20220306,18,373
20220306,19,344
20220306,20,357
20220306,21,300
20220306,22,245
20220306,23,200
20220307,0,88
20220307,5,5
20220307,6,277
20220307,7,786
20220307,8,1329
20220307,9,645
20220307,10,355
20220307,11,342
20220307,12,474
20220307,13,392
20220307,14,413
20220307,15,463
20220307,16,666
20220307,17,775
20220307,18,1026
20220307,19,790
20220307,20,487
20220307,21,408
20220307,22,426
20220307,23,281
20220308,0,143
20220308,5,6
20220308,6,197
20220308,7,712
20220308,8,1261
20220308,9,657
20220308,10,387
20220308,11,312
20220308,12,403
20220308,13,376
20220308,14,417
20220308,15,568
20220308,16,697
20220308,17,1011
20220308,18,1059
20220308,19,1044
20220308,20,612
20220308,21,460
20220308,22,454
20220308,23,409
20220309,0,164
20220309,1,12
20220309,5,1
20220309,6,76
20220309,7,125
20220309,8,208
20220309,9,261
20220309,10,244
20220309,11,298
20220309,12,320
20220309,13,306
20220309,14,341
20220309,15,364
20220309,16,381
20220309,17,371
20220309,18,356
20220309,19,315
20220309,20,293
20220309,21,267
20220309,22,285
20220309,23,242
20220310,0,110
20220310,5,3
20220310,6,270
20220310,7,816
20220310,8,1184
20220310,9,704
20220310,10,346
20220310,11,361
20220310,12,369
20220310,13,407
20220310,14,387
20220310,15,495
20220310,16,636
20220310,17,757
20220310,18,1113
20220310,19,806
20220310,20,541
20220310,21,423
20220310,22,446
20220310,23,333
20220311,0,149
20220311,1,7
20220311,5,2
20220311,6,160
20220311,7,717
20220311,8,1089
20220311,9,582
20220311,10,384
20220311,11,327
20220311,12,436
20220311,13,444
20220311,14,520
20220311,15,655
20220311,16,816
20220311,17,1019
20220311,18,1225
20220311,19,1009
20220311,20,646
20220311,21,444
20220311,22,367
20220311,23,336
20220312,0,156
20220312,5,1
20220312,6,101
20220312,7,184
20220312,8,285
20220312,9,321
20220312,10,335
20220312,11,385
20220312,12,413
20220312,13,328
20220312,14,387
20220312,15,454
20220312,16,433
20220312,17,478
20220312,18,386
20220312,19,303
20220312,20,284
20220312,21,251
20220312,22,303
20220312,23,283
20220313,0,125
20220313,1,11
20220313,5,3
20220313,6,35
20220313,7,74
20220313,8,139
20220313,9,176
20220313,10,188
20220313,11,201
20220313,12,201
20220313,13,261
20220313,14,275
20220313,15,380
20220313,16,417
20220313,17,375
20220313,18,343
20220313,19,324
20220313,20,346
20220313,21,345
20220313,22,301
20220313,23,218
20220314,0,85
20220314,1,6
20220314,5,2
20220314,6,248
20220314,7,867
20220314,8,1222
20220314,9,593
20220314,10,335
20220314,11,356
20220314,12,394
20220314,13,367
20220314,14,362
20220314,15,424
20220314,16,595
20220314,17,748
20220314,18,1100
20220314,19,742
20220314,20,466
20220314,21,384
20220314,22,398
20220314,23,308
20220315,0,113
20220315,5,4
20220315,6,183
20220315,7,742
20220315,8,1276
20220315,9,617
20220315,10,443
20220315,11,342
20220315,12,403
20220315,13,404
20220315,14,403
20220315,15,464
20220315,16,599
20220315,17,804
20220315,18,1091
20220315,19,760
20220315,20,488
20220315,21,392
20220315,22,419
20220315,23,324
20220316,0,121
20220316,5,4
20220316,6,206
20220316,7,770
20220316,8,1219
20220316,9,608
20220316,10,364
20220316,11,349
20220316,12,429
20220316,13,397
20220316,14,447
20220316,15,567
20220316,16,660
20220316,17,819
20220316,18,1093
20220316,19,815
20220316,20,453
20220316,21,418
20220316,22,445
20220316,23,336
20220317,0,135
20220317,1,7
20220317,5,5
20220317,6,198
20220317,7,689
20220317,8,1160
20220317,9,624
20220317,10,365
20220317,11,303
20220317,12,379
20220317,13,373
20220317,14,386
20220317,15,454
20220317,16,688
20220317,17,777
20220317,18,1030
20220317,19,665
20220317,20,529
20220317,21,429
20220317,22,417
20220317,23,324
20220410,0,211
20220410,5,0
20220410,6,51
20220410,7,111
20220410,8,207
20220410,9,268
20220410,10,298
20220410,11,301
20220410,12,315
20220410,13,295
20220410,14,364
20220410,15,409
20220410,16,400
20220410,17,429
20220410,18,491
20220410,19,470
20220410,20,500
20220410,21,403
20220410,22,306
20220410,23,257
20220411,0,126
20220411,5,3
20220411,6,258
20220411,7,913
20220411,8,1337
20220411,9,693
20220411,10,435
20220411,11,385
20220411,12,458
20220411,13,411
20220411,14,444
20220411,15,506
20220411,16,700
20220411,17,795
20220411,18,1187
20220411,19,850
20220411,20,513
20220411,21,440
20220411,22,460
20220411,23,322
20220412,0,164
