YMD_ID,HH_ID,GETON_CNT
20211018,20,424
20211018,21,451
20211018,22,354
20211018,23,276
20211019,0,47
20211019,5,57
20211019,6,481
20211019,7,1003
20211019,8,939
20211019,9,501
20211019,10,357
20211019,11,431
20211019,12,367
20211019,13,413
20211019,14,459
20211019,15,564
20211019,16,724
20211019,17,808
20211019,18,1014
20211019,19,533
20211019,20,441
20211019,21,422
20211019,22,425
20211019,23,251
20211020,0,57
20211020,5,56
20211020,6,444
20211020,7,1070
20211020,8,1012
20211020,9,529
20211020,10,382
20211020,11,395
20211020,12,404
20211020,13,429
20211020,14,504
20211020,15,644
20211020,16,683
20211020,17,835
20211020,18,1051
20211020,19,627
20211020,20,489
20211020,21,447
20211020,22,449
20211020,23,289
20211021,0,94
20211021,5,57
20211021,6,433
20211021,7,1007
20211021,8,892
20211021,9,522
20211021,10,352
20211021,11,409
20211021,12,449
20211021,13,444
20211021,14,425
20211021,15,653
20211021,16,731
20211021,17,910
20211021,18,1078
20211021,19,593
20211021,20,471
20211021,21,486
20211021,22,501
20211021,23,297
20211022,0,76
20211022,5,55
20211022,6,402
20211022,7,1025
20211022,8,911
20211022,9,523
20211022,10,413
20211022,11,440
20211022,12,495
20211022,13,525
20211022,14,666
20211022,15,815
20211022,16,971
20211022,17,1169
20211022,18,1265
20211022,19,739
20211022,20,523
20211022,21,453
20211022,22,438
20211022,23,285
20211023,0,69
20211023,5,47
20211023,6,162
20211023,7,254
20211023,8,417
20211023,9,394
20211023,10,436
20211023,11,432
20211023,12,468
20211023,13,431
20211023,14,471
20211023,15,459
20211023,16,511
20211023,17,483
20211023,18,439
20211023,19,392
20211023,20,324
20211023,21,309
20211023,22,274
20211023,23,250
20211024,0,58
20211024,1,0
20211024,5,27
20211024,6,83
20211024,7,134
20211024,8,238
20211024,9,253
20211024,10,273
20211024,11,296
20211024,12,332
20211024,13,355
20211024,14,381
20211024,15,434
20211024,16,454
20211024,17,428
20211024,18,457
20211024,19,449
20211024,20,423
20211024,21,354
20211024,22,278
20211024,23,223
20211025,0,34
20211025,1,0
20211025,5,74
20211025,6,503
20211025,7,1155
20211025,8,937
20211025,9,480
20211025,10,391
20211025,11,373
20211025,12,407
20211025,13,428
20211025,14,465
20211025,15,595
20211025,16,667
20211025,17,834
20211025,18,1053
20211025,19,601
20211025,20,451
20211025,21,471
20211025,22,407
20211025,23,229
20211026,0,70
20211026,5,55
20211026,6,452
20211026,7,1077
20211026,8,934
20211026,9,484
20211026,10,396
20211026,11,379
20211026,12,434
20211026,13,431
20211026,14,446
20211026,15,649
20211026,16,726
20211026,17,943
20211026,18,1088
20211026,19,597
20211026,20,488
20211026,21,505
20211026,22,447
20211026,23,282
20211027,0,76
20211027,5,45
20211027,6,440
20211027,7,1093
20211027,8,937
20211027,9,549
20211027,10,400
20211027,11,400
20211027,12,421
20211027,13,447
20211027,14,539
20211027,15,665
20211027,16,757
20211027,17,942
20211027,18,1153
20211027,19,647
20211027,20,526
20211027,21,502
20211027,22,450
20211027,23,334
20211028,0,95
20211028,5,55
20211028,6,436
20211028,7,1106
20211028,8,953
20211028,9,563
20211028,10,439
20211028,11,423
20211028,12,454
20211028,13,455
20211028,14,528
20211028,15,705
20211028,16,783
20211028,17,996
20211028,18,1162
20211028,19,609
20211028,20,586
20211028,21,498
20211028,22,441
20211028,23,328
20211029,0,81
20211029,5,56
20211029,6,448
20211029,7,1012
20211029,8,823
20211029,9,533
20211029,10,439
20211029,11,460
20211029,12,461
20211029,13,457
20211029,14,651
20211029,15,851
20211029,16,914
20211029,17,1157
20211029,18,1258
20211029,19,791
20211029,20,580
20211029,21,516
20211029,22,442
20211029,23,355
20211030,0,83
20211030,5,59
20211030,6,207
20211030,7,311
20211030,8,392
20211030,9,443
20211030,10,403
20211030,11,447
20211030,12,512
20211030,13,502
20211030,14,464
20211030,15,562
20211030,16,498
20211030,17,541
20211030,18,414
20211030,19,335
20211030,20,384
20211030,21,327
20211030,22,361
20211030,23,258
20211031,0,62
20211031,5,31
20211031,6,77
20211031,7,139
20211031,8,216
20211031,9,238
20211031,10,309
20211031,11,343
20211031,12,332
20211031,13,375
20211031,14,434
20211031,15,484
20211031,16,497
20211031,17,475
20211031,18,459
20211031,19,469
20211031,20,432
20211031,21,404
20211031,22,291
20211031,23,214
20211101,0,61
20211101,5,79
20211101,6,540
20211101,7,1200
20211101,8,1014
20211101,9,514
20211101,10,381
20211101,11,376
20211101,12,383
20211101,13,401
20211101,14,472
20211101,15,638
20211101,16,712
20211101,17,846
20211101,18,1178
20211101,19,607
20211101,20,472
20211101,21,495
20211101,22,395
20211101,23,284
20211102,0,62
20211102,5,62
20211102,6,470
20211102,7,1134
20211102,8,1022
20211102,9,526
20211102,10,368
20211102,11,397
20211102,12,402
20211102,13,438
20211102,14,460
20211102,15,586
20211102,16,741
20211102,17,914
20211102,18,1159
20211102,19,613
20211102,20,501
20211102,21,514
20211102,22,444
20211102,23,295
20211103,0,84
20211103,5,60
20211103,6,510
20211103,7,1081
20211103,8,915
20211103,9,543
20211103,10,368
20211103,11,447
20211103,12,406
20211103,13,397
20211103,14,471
20211103,15,712
20211103,16,802
20211103,17,960
20211103,18,1169
20211103,19,617
20211103,20,503
20211103,21,512
20211103,22,487
20211103,23,315
20211104,0,78
20211104,1,1
20211104,5,62
20211104,6,478
20211104,7,1131
20211104,8,929
20211104,9,552
20211104,10,468
20211104,11,396
20211104,12,452
20211104,13,513
20211104,14,509
20211104,15,706
20211104,16,714
20211104,17,956
20211104,18,1189
20211104,19,656
20211104,20,505
20211104,21,534
20211104,22,453
20211104,23,384
20211105,0,90
20211105,5,54
20211105,6,466
20211105,7,1060
20211105,8,968
20211105,9,588
20211105,10,446
20211105,11,474
20211105,12,462
20211105,13,528
20211105,14,590
20211105,15,830
20211105,16,962
20211105,17,1262
20211105,18,1299
20211105,19,791
20211105,20,632
20211105,21,485
20211105,22,437
20211105,23,392
20211106,0,93
20211106,1,0
20211106,5,50
20211106,6,177
20211106,7,282
20211106,8,410
20211106,9,499
20211106,10,420
20211106,11,470
20211106,12,489
20211106,13,458
20211106,14,548
20211106,15,550
20211106,16,606
20211106,17,571
20211106,18,478
20211106,19,370
20211106,20,436
20211106,21,349
20211106,22,332
20211106,23,276
20211107,0,75
20211107,5,26
20211107,6,80
20211107,7,157
20211107,8,259
20211107,9,250
20211107,10,271
20211107,11,321
20211107,12,319
20211107,13,362
20211107,14,438
20211107,15,422
20211107,16,487
20211107,17,532
20211107,18,453
20211107,19,478
20211107,20,509
20211107,21,346
20211107,22,276
20211107,23,250
20211108,0,44
20211108,5,75
20211108,6,517
20211108,7,1140
20211108,8,1017
20211108,9,520
20211108,10,338
20211108,11,363
20211108,12,379
20211108,13,325
20211108,14,428
20211108,15,534
20211108,16,657
20211108,17,884
20211108,18,1051
20211108,19,543
20211108,20,424
20211108,21,432
20211108,22,339
20211108,23,262
20211109,0,66
20211109,5,56
20211109,6,479
20211109,7,1094
20211109,8,1016
20211109,9,537
20211109,10,359
20211109,11,410
20211109,12,432
20211109,13,398
20211109,14,459
20211109,15,622
20211109,16,764
20211109,17,913
20211109,18,1055
20211109,19,540
20211109,20,523
20211109,21,437
20211109,22,458
20211109,23,261
20211110,0,87
20211110,5,53
20211110,6,522
20211110,7,1051
20211110,8,928
20211110,9,539
20211110,10,377
20211110,11,389
20211110,12,450
20211110,13,342
